threshold,coverage,automatic_accuracy,automatic_tickets
0.3731636958272405,0.7926421404682275,0.9448839662447257,3792
0.3769189785671708,0.7905518394648829,0.9455314648334214,3782
0.3794947133889425,0.7886705685618729,0.9461966604823747,3773
0.38087978664946975,0.7865802675585284,0.9465851714057932,3763
0.3847032678191902,0.784489966555184,0.9469757527311484,3753
0.38709573804317327,0.782608695652174,0.9473824786324786,3744
0.391119144064001,0.7805183946488294,0.9477771826459561,3734
0.3941111630165319,0.7786371237458194,0.9479194630872483,3725
0.3971267161164801,0.7765468227424749,0.9483176312247644,3715
0.3997452597977618,0.7746655518394648,0.9490016189962224,3706
0.40191494110912396,0.7725752508361204,0.9496753246753247,3696
0.40404662643663525,0.7706939799331104,0.9506373745592622,3687
0.4063677205497021,0.7686036789297659,0.951319010062551,3677
0.4096601371290786,0.7667224080267558,0.9517448200654307,3668
0.4131765915663678,0.7646321070234113,0.9518862766539092,3658
0.4162788372288982,0.7627508361204013,0.9523157029323103,3649
0.42063696199610334,0.7606605351170569,0.9524594668865073,3639
0.42559333858364334,0.7585702341137124,0.9526040231468724,3629
0.4280811460567246,0.7566889632107023,0.9533149171270718,3620
0.42930570303247706,0.7545986622073578,0.9542936288088643,3610
0.43261886562715013,0.7527173913043478,0.9541793946126076,3601
0.43516663330846744,0.7506270903010034,0.9548872180451128,3591
0.4372674902831637,0.7487458193979933,0.9556113902847572,3582
0.43911494689657043,0.7466555183946488,0.9557670772676372,3572
0.4410525759546672,0.7447742474916388,0.9556553466180185,3563
0.4447711998716329,0.7426839464882943,0.9566563467492261,3553
0.4464256270350764,0.7408026755852842,0.9576749435665914,3544
0.4503000309802556,0.7387123745819398,0.9584040747028862,3534
0.45346204318282274,0.7368311036789298,0.9588652482269504,3525
0.45655277553132123,0.7347408026755853,0.9590327169274537,3515
0.4605966993660068,0.7328595317725752,0.959498003422704,3506
0.4620965126560445,0.7307692307692307,0.959954233409611,3496
0.4639831438902902,0.7286789297658863,0.9601262191623637,3486
0.46613916192854865,0.7267976588628763,0.9603106125970664,3477
0.4686752695791097,0.7247073578595318,0.9607730025959043,3467
0.4707891207283757,0.7228260869565217,0.9609600925390399,3458
0.47491237415015586,0.7207357859531772,0.9611368909512761,3448
0.47764928000956225,0.7188545150501672,0.9613259668508287,3439
0.4801823888742585,0.7167642140468228,0.9615048118985127,3429
0.48289980093577783,0.7148829431438127,0.9619883040935673,3420
0.4846498136666076,0.7127926421404682,0.9618768328445748,3410
0.48683464088219025,0.7109113712374582,0.9626580417524258,3401
0.4898366791715906,0.7088210702341137,0.9628428192273666,3391
0.49374596929993697,0.7069397993311036,0.9630396215257244,3382
0.496339854326354,0.7048494983277592,0.9635231316725978,3372
0.49786996303441095,0.7027591973244147,0.9637120761451516,3362
0.5002855403198876,0.7008779264214047,0.963614673426782,3353
0.5030089799359,0.6987876254180602,0.9635058330840562,3343
0.5059783862769417,0.6969063545150501,0.9640071985602879,3334
0.5088395362401502,0.6948160535117057,0.9648014440433214,3324
0.5104433138330731,0.6929347826086957,0.9656108597285068,3315
0.5126539422358481,0.6908444816053512,0.9658093797276853,3305
0.5139992330766332,0.6889632107023411,0.9660194174757282,3296
0.5165048015494587,0.6868729096989966,0.9668289713937919,3286
0.5187187224377688,0.6849916387959866,0.9673481843149222,3277
0.5213962424461214,0.6829013377926422,0.967860422405877,3267
0.5233843203821108,0.6810200668896321,0.9677716390423573,3258
0.5253647387817302,0.6789297658862876,0.9685960591133005,3248
0.5262357256813364,0.6768394648829431,0.9691167387276096,3238
0.528789214166503,0.6749581939799331,0.96934035305048,3229
0.5301733239911084,0.6728678929765887,0.969555762659211,3219
0.5326808588084662,0.6709866220735786,0.9700934579439252,3210
0.5346507455830286,0.6688963210702341,0.970625,3200
0.536752149213798,0.6670150501672241,0.9711689125665935,3191
0.5389335212850092,0.6649247491638796,0.9717070103740962,3181
0.5423435650933061,0.6630434782608695,0.9725725094577553,3172
0.5445740432792229,0.6609531772575251,0.9728020240354206,3162
0.5468453973698589,0.6590719063545151,0.9730415477323184,3153
0.5490168792093789,0.6569816053511706,0.9735921094495704,3143
0.5507659726706824,0.6551003344481605,0.9741544352265475,3134
0.5528353912328801,0.653010033444816,0.9740717029449424,3124
0.5548155244212304,0.6509197324414716,0.974630700064226,3114
0.5564509037285562,0.6490384615384616,0.9748792270531401,3105
0.5578872681406328,0.6469481605351171,0.9747980613893377,3095
0.5597197200946401,0.645066889632107,0.9747245625405055,3086
0.5617025430037622,0.6429765886287625,0.9749674902470741,3076
0.5631268930302757,0.6410953177257525,0.9748940332572547,3067
0.5648079612663562,0.6390050167224081,0.9751390251880929,3057
0.5668922969659849,0.637123745819398,0.9753937007874016,3048
0.5691876411904376,0.6350334448160535,0.9763001974983542,3038
0.5709800673462403,0.6331521739130435,0.9762297788048862,3029
0.5722717845593589,0.631061872909699,0.9768135144087446,3019
0.573166717270917,0.629180602006689,0.9770764119601328,3010
0.5747159319157855,0.6270903010033445,0.978,3000
0.5755147027581184,0.625,0.9789297658862877,2990
0.5773573031574885,0.62311872909699,0.9788661522978866,2981
0.5784271903004212,0.6210284280936454,0.979131605520027,2971
0.5802569849748732,0.6191471571906354,0.9797434166103984,2962
0.5819753084591547,0.617056856187291,0.9800135501355014,2952
0.5832980438507855,0.615175585284281,0.9799524294937139,2943
0.5851602907428649,0.6130852842809364,0.9802250255710876,2933
0.5869093341547178,0.6112040133779264,0.9805061559507524,2924
